文件名,特征,特征面数,打标签数量,准确率(%)
GFR_02004 , rib ,90,90,100.0
GFR_02003 , clip ,98,98,100.0
GFR_02002 , boss ,65,65,100.0
GFR_02001 , rib ,45,45,100.0
GFR_02001 , clip ,69,69,100.0
GFR_02000 , clip ,135,135,100.0
GFR_01999 , rib ,37,37,100.0
GFR_01996 , contact ,52,52,100.0
GFR_01996 , clip ,380,380,100.0
GFR_01995 , rib ,219,219,100.0
GFR_01993 , rib ,90,90,100.0
GFR_01991 , clip ,180,180,100.0
GFR_01990 , rib ,156,156,100.0
GFR_01964 , rib ,12,12,100.0
GFR_01962 , clip ,114,114,100.0
GFR_01962 , rib ,66,66,100.0
GFR_01948 , boss ,11,11,100.0
GFR_01768 , rib ,384,384,100.0
GFR_01947 , clip ,29,29,100.0
GFR_01946 , rib ,179,179,100.0
GFR_01946 , contact ,35,35,100.0
GFR_01946 , clip ,29,29,100.0
GFR_01945 , clip ,26,26,100.0
GFR_01944 , clip ,26,26,100.0
GFR_01941 , boss ,111,111,100.0
GFR_01940 , contact ,292,292,100.0
GFR_01940 , boss ,368,368,100.0
GFR_01939 , rib ,135,135,100.0
GFR_01937 , clip ,188,188,100.0
GFR_01936 , clip ,95,95,100.0
GFR_01936 , clip ,95,95,100.0
GFR_01935 , clip ,57,57,100.0
GFR_01947 , rib ,180,180,100.0
GFR_01949 , clip ,95,95,100.0
GFR_01961 , clip ,165,165,100.0
GFR_01950 , clip ,127,127,100.0
GFR_01960 , rib ,167,167,100.0
GFR_01960 , contact ,82,82,100.0
GFR_01959 , contact ,85,85,100.0
GFR_01959 , rib ,163,163,100.0
GFR_01958 , contact ,16,16,100.0
GFR_01956 , contact ,270,270,100.0
GFR_01956 , clip ,172,172,100.0
GFR_01955 , contact ,271,271,100.0
GFR_01955 , clip ,173,173,100.0
GFR_01951 , boss ,24,24,100.0
GFR_01951 , contact ,22,22,100.0
GFR_01951 , rib ,110,110,100.0
GFR_01950 , boss ,24,24,100.0
GFR_01950 , contact ,22,22,100.0
GFR_01950 , rib ,108,108,100.0
GFR_02005 , contact ,32,32,100.0
GFR_02006 , boss ,63,63,100.0
GFR_02057 , boss ,39,39,100.0
GFR_02037 , rib ,20,20,100.0
GFR_02043 , rib ,85,85,100.0
GFR_02042 , clip ,84,84,100.0
GFR_02042 , rib ,157,157,100.0
GFR_02042 , contact ,122,122,100.0
GFR_02040 , contact ,156,156,100.0
GFR_02039 , rib ,177,177,100.0
GFR_02039 , contact ,241,241,100.0
GFR_02037 , clip ,44,44,100.0
GFR_02007 , contact ,120,120,100.0
GFR_02036 , clip ,37,37,100.0
GFR_02036 , contact ,36,36,100.0
GFR_02036 , rib ,159,159,100.0
GFR_02035 , contact ,38,38,100.0
GFR_02035 , clip ,37,37,100.0
GFR_02034 , rib ,18,18,100.0
GFR_02034 , clip ,115,115,100.0
GFR_02044 , clip ,64,64,100.0
GFR_02044 , contact ,41,41,100.0
GFR_02045 , clip ,64,64,100.0
GFR_02045 , contact ,42,42,100.0
GFR_02056 , contact ,24,24,100.0
GFR_02056 , clip ,150,150,100.0
GFR_02054 , clip ,456,456,100.0
GFR_02054 , rib ,187,187,100.0
GFR_02053 , contact ,34,34,100.0
GFR_02052 , contact ,150,150,100.0
GFR_02051 , clip ,129,129,100.0
GFR_02050 , clip ,129,129,100.0
GFR_02049 , clip ,63,63,100.0
GFR_02049 , contact ,343,343,100.0
GFR_02048 , clip ,63,63,100.0
GFR_02047 , contact ,89,89,100.0
